Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,458
design__inferred_latch__count,0
design__instance__count,9721
design__instance__area,112626
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00656173238530755
power__switching__total,0.0024606690276414156
power__leakage__total,1.308596608851076E-7
power__total,0.00902253296226263
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.6249001493138988
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.6688143006499578
timing__hold__ws__corner:nom_tt_025C_1v80,0.33428105674139097
timing__setup__ws__corner:nom_tt_025C_1v80,34.76199693156552
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.334281
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,34.761997
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.8548939575999154
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.7852260730555637
timing__hold__ws__corner:nom_ss_100C_1v60,0.9817951174388397
timing__setup__ws__corner:nom_ss_100C_1v60,29.533091474941322
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.981795
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,29.533091
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.5260423356917061
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.6166009544143524
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10871570618124458
timing__setup__ws__corner:nom_ff_n40C_1v95,36.69393426302672
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108716
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,36.693935
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.5165619189717026
clock__skew__worst_setup,0.6077991060261908
timing__hold__ws,0.10757794959343077
timing__setup__ws,29.461207640688297
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107578
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,29.461208
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 682.64 225.76
design__core__bbox,2.76 2.72 679.88 223.04
design__io,45
design__die__area,154113
design__core__area,149183
design__instance__count__stdcell,9721
design__instance__area__stdcell,112626
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.754948
design__instance__utilization__stdcell,0.754948
design__instance__count__class:inverter,46
design__instance__count__class:sequential_cell,2604
design__instance__count__class:multi_input_combinational_cell,1899
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,6720
design__instance__count__class:tap_cell,2158
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,140788
design__violations,0
design__instance__count__class:timing_repair_buffer,2649
design__instance__count__class:clock_buffer,168
design__instance__count__class:clock_inverter,12
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2615
antenna__violating__nets,5
antenna__violating__pins,6
route__antenna_violation__count,5
antenna_diodes_count,185
design__instance__count__class:antenna_cell,185
route__net,7332
route__net__special,2
route__drc_errors__iter:1,3386
route__wirelength__iter:1,167700
route__drc_errors__iter:2,605
route__wirelength__iter:2,165874
route__drc_errors__iter:3,614
route__wirelength__iter:3,165434
route__drc_errors__iter:4,41
route__wirelength__iter:4,165301
route__drc_errors__iter:5,0
route__wirelength__iter:5,165292
route__drc_errors,0
route__wirelength,165292
route__vias,43680
route__vias__singlecut,43680
route__vias__multicut,0
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,1160.19
timing__unannotated_net__count__corner:nom_tt_025C_1v80,84
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,84
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,84
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.6112444057247985
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.6568087926113323
timing__hold__ws__corner:min_tt_025C_1v80,0.33306514045043306
timing__setup__ws__corner:min_tt_025C_1v80,34.806924550018266
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.333065
