Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,1794
design__instance__area,14694.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,13
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0015684752725064754
power__switching__total,0.0016921400092542171
power__leakage__total,1.2893114131884431E-8
power__total,0.0032606280874460936
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26423994296118025
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2653607686473897
timing__hold__ws__corner:nom_tt_025C_1v80,0.31450004601874565
timing__setup__ws__corner:nom_tt_025C_1v80,4.697635302606282
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.314500
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,11.918317
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,29
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,13
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2696038191229038
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2706710210355073
timing__hold__ws__corner:nom_ss_100C_1v60,0.852633432435544
timing__setup__ws__corner:nom_ss_100C_1v60,3.5867700935662685
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.852633
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,4.499892
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,13
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2611125556346651
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26225167224572254
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11630402525801861
timing__setup__ws__corner:nom_ff_n40C_1v95,5.083404063793861
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.116304
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.803258
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,46
design__max_fanout_violation__count,13
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2594935451076411
clock__skew__worst_setup,0.2604107558853757
timing__hold__ws,0.11315798618416224
timing__setup__ws,3.555556838479976
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.113158
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,4.255934
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1794
design__instance__area__stdcell,14694.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.890912
design__instance__utilization__stdcell,0.890912
design__instance__count__class:buffer,8
design__instance__count__class:inverter,45
design__instance__count__class:sequential_cell,182
design__instance__count__class:multi_input_combinational_cell,1147
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,620
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,37008
design__violations,0
design__instance__count__class:timing_repair_buffer,151
design__instance__count__class:clock_buffer,19
design__instance__count__class:clock_inverter,13
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,13
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
antenna_diodes_count,4
design__instance__count__class:antenna_cell,4
route__net,1569
route__net__special,2
route__drc_errors__iter:1,1613
route__wirelength__iter:1,43896
route__drc_errors__iter:2,1154
route__wirelength__iter:2,43465
route__drc_errors__iter:3,1182
route__wirelength__iter:3,43297
route__drc_errors__iter:4,265
route__wirelength__iter:4,43236
route__drc_errors__iter:5,72
route__wirelength__iter:5,43214
route__drc_errors__iter:6,17
route__wirelength__iter:6,43165
route__drc_errors__iter:7,0
route__wirelength__iter:7,43165
route__drc_errors,0
route__wirelength,43165
route__vias,13100
route__vias__singlecut,13100
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,332.74
timing__unannotated_net__count__corner:nom_tt_025C_1v80,32
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,32
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,32
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,13
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2622717395274602
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2631725190039656
timing__hold__ws__corner:min_tt_025C_1v80,0.3090707777190223
timing__setup__ws__corner:min_tt_025C_1v80,4.714831325476433
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
