Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,451
design__inferred_latch__count,0
design__instance__count,11358
design__instance__area,104881
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,25
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,74
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.000929082278162241
power__switching__total,0.000430869753472507
power__leakage__total,1.203499806479158E-7
power__total,0.001360072405077517
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3281227327163528
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.32788925280767084
timing__hold__ws__corner:nom_tt_025C_1v80,0.30487069287577634
timing__setup__ws__corner:nom_tt_025C_1v80,58.97940791582378
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.304871
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,79.891777
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,572
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,74
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3758827522296332
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.37678136677117935
timing__hold__ws__corner:nom_ss_100C_1v60,0.8727823155678031
timing__setup__ws__corner:nom_ss_100C_1v60,58.185337306303545
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.872782
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,59.396149
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,74
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3048958116724189
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3025576264052787
timing__hold__ws__corner:nom_ff_n40C_1v95,0.09688861098772215
timing__setup__ws__corner:nom_ff_n40C_1v95,59.29764580531639
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.096889
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,87.351135
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,649
design__max_fanout_violation__count,74
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.29856976069919183
clock__skew__worst_setup,0.29688299881017394
timing__hold__ws,0.09666812068879571
timing__setup__ws,58.162635465253956
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.096668
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,58.708969
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 682.64 225.76
design__core__bbox,2.76 2.72 679.88 223.04
design__io,45
design__die__area,154113
design__core__area,149183
design__instance__count__stdcell,11358
design__instance__area__stdcell,104881
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.703033
design__instance__utilization__stdcell,0.703033
design__instance__count__class:buffer,2
design__instance__count__class:inverter,79
design__instance__count__class:sequential_cell,1473
design__instance__count__class:multi_input_combinational_cell,5728
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,7093
design__instance__count__class:tap_cell,2158
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,353000
design__violations,0
design__instance__count__class:timing_repair_buffer,1697
design__instance__count__class:clock_buffer,86
design__instance__count__class:clock_inverter,29
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1021
antenna__violating__nets,28
antenna__violating__pins,43
route__antenna_violation__count,28
antenna_diodes_count,106
design__instance__count__class:antenna_cell,106
route__net,9074
route__net__special,2
route__drc_errors__iter:1,9215
route__wirelength__iter:1,414120
route__drc_errors__iter:2,5562
route__wirelength__iter:2,411098
route__drc_errors__iter:3,5052
route__wirelength__iter:3,410666
route__drc_errors__iter:4,1442
route__wirelength__iter:4,410545
route__drc_errors__iter:5,483
route__wirelength__iter:5,410817
route__drc_errors__iter:6,211
route__wirelength__iter:6,410664
route__drc_errors__iter:7,149
route__wirelength__iter:7,410657
route__drc_errors__iter:8,149
route__wirelength__iter:8,410657
route__drc_errors__iter:9,80
route__wirelength__iter:9,410644
route__drc_errors__iter:10,56
route__wirelength__iter:10,410656
route__drc_errors__iter:11,32
route__wirelength__iter:11,410672
route__drc_errors__iter:12,4
route__wirelength__iter:12,410668
route__drc_errors__iter:13,4
route__wirelength__iter:13,410668
route__drc_errors__iter:14,3
route__wirelength__iter:14,410666
route__drc_errors__iter:15,2
route__wirelength__iter:15,410672
route__drc_errors__iter:16,2
route__wirelength__iter:16,410673
route__drc_errors__iter:17,2
route__wirelength__iter:17,410674
route__drc_errors__iter:18,2
route__wirelength__iter:18,410674
route__drc_errors__iter:19,2
route__wirelength__iter:19,410673
route__drc_errors__iter:20,1
route__wirelength__iter:20,410694
route__drc_errors__iter:21,0
route__wirelength__iter:21,410706
route__drc_errors,0
route__wirelength,410706
route__vias,76477
route__vias__singlecut,76477
route__vias__multicut,0
design__disconnected_pin__count,3
design__critical_disconnected_pin__count,0
route__wirelength__max,862.73
timing__unannotated_net__count__corner:nom_tt_025C_1v80,56
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,56
