Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,7
design__inferred_latch__count,0
design__instance__count,1749
design__instance__area,16354.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,12
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0009301505051553249
power__switching__total,0.0005903766141273081
power__leakage__total,1.891893575134418E-8
power__total,0.00152054603677243
clock__skew__worst_hold__corner:nom_tt_025C_1v80,3.668486951381889
clock__skew__worst_setup__corner:nom_tt_025C_1v80,4.1684870068930415
timing__hold__ws__corner:nom_tt_025C_1v80,0.3185392040300209
timing__setup__ws__corner:nom_tt_025C_1v80,11.924677582897857
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.318539
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,16.828636
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,4
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,12
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,3.6178900899158553
clock__skew__worst_setup__corner:nom_ss_100C_1v60,4.117890145427008
timing__hold__ws__corner:nom_ss_100C_1v60,0.8747640637228066
timing__setup__ws__corner:nom_ss_100C_1v60,8.53861894247035
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.874764
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,13.813802
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,12
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,3.6937005610734257
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,4.193700616584579
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10885886944431893
timing__setup__ws__corner:nom_ff_n40C_1v95,13.2811703172096
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108859
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.934008
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,4
design__max_fanout_violation__count,12
design__max_cap_violation__count,0
clock__skew__worst_hold,3.695003518851976
clock__skew__worst_setup,4.117890145427008
timing__hold__ws,0.10681167364016272
timing__setup__ws,8.379817077428843
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106812
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.753369
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,1749
design__instance__area__stdcell,16354.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.477427
design__instance__utilization__stdcell,0.477427
design__instance__count__class:buffer,14
design__instance__count__class:inverter,28
design__instance__count__class:sequential_cell,266
design__instance__count__class:multi_input_combinational_cell,659
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2265
design__instance__count__class:tap_cell,456
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,33115.9
design__violations,0
design__instance__count__class:timing_repair_buffer,285
design__instance__count__class:clock_buffer,21
design__instance__count__class:clock_inverter,17
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,165
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,3
design__instance__count__class:antenna_cell,3
route__net,1292
route__net__special,2
route__drc_errors__iter:1,629
route__wirelength__iter:1,38226
route__drc_errors__iter:2,178
route__wirelength__iter:2,37958
route__drc_errors__iter:3,174
route__wirelength__iter:3,37950
route__drc_errors__iter:4,23
route__wirelength__iter:4,37920
route__drc_errors__iter:5,0
route__wirelength__iter:5,37877
route__drc_errors,0
route__wirelength,37877
route__vias,9306
route__vias__singlecut,9306
route__vias__multicut,0
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,352.69
timing__unannotated_net__count__corner:nom_tt_025C_1v80,29
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,29
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,29
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,12
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,3.668977669972652
clock__skew__worst_setup__corner:min_tt_025C_1v80,4.1689777254838045
timing__hold__ws__corner:min_tt_025C_1v80,0.31393111221368597
timing__setup__ws__corner:min_tt_025C_1v80,12.00847544280969
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.313931
